100000
c, 1, 4
b, 2, 7
N, 8, 3
f, 13, 9
B, 5, 6
Z, 44, 21
R, 14, 12
O, 18, 11
n, 28, 10
Q, 36, 50
7, 20, 148
i, 25, 19
6, 30, 15
Z, 89, 17
s, 24, 41
r, 16, 56
z, 70, 131
m, 101, 145
m, 22, 63
p, 23, 34
0, 68, 33
p, 86, 29
h, 26, 49
A, 105, 124
g, 27, 40
1, 62, 59
l, 74, 169
l, 48, 31
b, 38, 39
o, 42, 32
p, 96, 51
p, 189, 370
1, 53, 78
1, 200, 67
6, 35, 57
9, 58, 75
O, 37, 64
K, 296, 144
t, 420, 72
l, 46, 174
p, 61, 43
5, 88, 81
N, 54, 69
m, 80, 99
b, 52, 45
p, 87, 47
1, 302, 234
6, 71, 84
f, 153, 187
L, 240, 110
P, 77, 98
K, 242, 102
p, 55, 85
R, 65, 120
k, 146, 362
l, 73, 90
5, 117, 60
L, 104, 118
n, 119, 504
r, 263, 136
N, 193, 371
r, 435, 343
K, 66, 79
5, 158, 76
N, 132, 330
s, 173, 100
b, 134, 556
q, 92, 323
c, 227, 140
0, 130, 147
p, 128, 208
8, 95, 123
z, 201, 125
8, 253, 203
P, 108, 197
a, 434, 111
a, 139, 121
q, 141, 175
p, 133, 155
n, 275, 83
z, 337, 610
p, 225, 82
p, 91, 170
n, 142, 247
7, 152, 319
7, 93, 149
z, 114, 106
a, 195, 150
l, 126, 94
s, 256, 113
5, 231, 122
N, 363, 217
6, 191, 436
g, 410, 109
f, 107, 103
9, 165, 210
n, 97, 185
7, 143, 112
n, 137, 235
8, 312, 360
R, 778, 1355
N, 661, 487
O, 168, 199
i, 480, 1094
M, 127, 647
N, 925, 177
p, 129, 196
Q, 135, 223
N, 116, 349
p, 209, 286
p, 151, 455
f, 451, 917
0, 453, 794
C, 259, 115
g, 220, 167
i, 759, 260
M, 503, 1365
P, 318, 184
c, 351, 283
M, 825, 416
a, 282, 605
n, 261, 228
l, 524, 157
f, 178, 384
Q, 188, 238
5, 731, 407
l, 582, 207
o, 326, 249
l, 229, 354
A, 138, 172
r, 198, 160
N, 456, 269
j, 415, 218
Q, 443, 181
z, 662, 214
g, 1411, 182
N, 186, 536
j, 399, 154
R, 948, 340
a, 159, 156
n, 298, 305
s, 831, 578
P, 1062, 377
l, 309, 988
g, 1193, 284
l, 161, 205
0, 527, 215
i, 475, 192
h, 164, 224
K, 176, 450
o, 162, 171
m, 211, 895
M, 236, 180
o, 179, 327
R, 541, 342
5, 798, 322
1, 257, 239
s, 1628, 258
c, 163, 166
L, 697, 737
o, 516, 308
i, 1229, 314
8, 422, 206
s, 459, 232
l, 316, 782
0, 1323, 1508
O, 292, 548
8, 373, 376
m, 222, 271
p, 213, 212
p, 613, 266
b, 299, 233
j, 353, 375
r, 358, 324
p, 381, 243
1, 329, 183
b, 1046, 603
B, 202, 190
m, 439, 916
n, 2857, 2997
O, 285, 1182
r, 587, 599
p, 1536, 1155
z, 807, 1532
8, 335, 339
a, 194, 414
R, 792, 268
b, 204, 671
i, 532, 230
k, 226, 1022
5, 405, 246
Z, 816, 859
L, 2717, 550
p, 237, 336
m, 251, 388
1, 219, 281
M, 280, 274
p, 272, 614
R, 1212, 1020
p, 294, 264
m, 591, 311
5, 412, 244
p, 1130, 348
q, 539, 248
7, 304, 496
k, 365, 390
8, 679, 276
L, 1111, 221
B, 346, 293
k, 445, 418
b, 355, 441
R, 882, 356
1, 262, 334
z, 254, 655
n, 751, 216
B, 255, 1080
0, 245, 1454
h, 386, 688
f, 1021, 488
f, 325, 472
b, 382, 279
B, 899, 980
p, 2736, 1003
g, 1151, 273
K, 609, 300
K, 290, 265
M, 320, 828
6, 338, 517
k, 1361, 270
j, 479, 735
O, 267, 291
p, 288, 252
B, 344, 250
M, 1269, 783
6, 774, 437
t, 427, 779
a, 690, 357
O, 728, 440
r, 328, 361
9, 347, 1358
b, 241, 332
K, 392, 301
R, 438, 446
L, 315, 908
9, 668, 1098
l, 992, 2288
p, 849, 573
g, 378, 812
0, 971, 477
h, 8766, 1749
i, 430, 424
p, 1240, 1145
L, 490, 3313
9, 1367, 303
P, 641, 345
s, 753, 894
B, 277, 549
5, 1253, 421
i, 1254, 408
O, 492, 287
6, 1607, 333
C, 808, 708
7, 975, 693
h, 321, 341
o, 485, 295
L, 278, 673
5, 1034, 431
L, 3813, 2298
a, 486, 1673
C, 520, 595
O, 484, 331
7, 1058, 964
A, 712, 1485
p, 1061, 1348
p, 714, 289
R, 557, 307
j, 1972, 426
M, 754, 574
c, 909, 310
p, 460, 509
l, 561, 352
L, 505, 391
R, 901, 2417
a, 682, 2554
c, 851, 297
p, 692, 836
c, 400, 501
l, 306, 852
p, 364, 396
s, 1102, 966
p, 350, 379
O, 796, 829
m, 724, 669
